Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1901","Directed","Hugo von Hofmannsthal an Felix Salten","8"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1901","Directed","Richard Beer-Hofmann an Felix Salten","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1901","Directed","Paul Goldmann an Arthur Schnitzler","94"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1901","Directed","Felix Salten an Hermann Bahr","14"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1902","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","36"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1902","Directed","Arthur Schnitzler an Richard Beer-Hofmann","16"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1902","Directed","Hugo von Hofmannsthal an Hermann Bahr","28"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1902","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","12"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1902","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1902","Directed","Hugo von Hofmannsthal an Felix Salten","8"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1902","Directed","Hermann Bahr an Felix Salten","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1902","Directed","Paul Goldmann an Arthur Schnitzler","92"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1902","Directed","Felix Salten an Arthur Schnitzler","38"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1902","Directed","Paul Goldmann an Richard Beer-Hofmann","12"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1903","Directed","Arthur Schnitzler an Hermann Bahr","36"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1903","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","44"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1903","Directed","Arthur Schnitzler an Richard Beer-Hofmann","30"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1903","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","18"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1903","Directed","Hugo von Hofmannsthal an Hermann Bahr","40"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1903","Directed","Hermann Bahr an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1903","Directed","Hugo von Hofmannsthal an Felix Salten","22"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1903","Directed","Hermann Bahr an Felix Salten","10"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1903","Directed","Richard Beer-Hofmann an Felix Salten","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1903","Directed","Paul Goldmann an Arthur Schnitzler","66"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1903","Directed","Felix Salten an Arthur Schnitzler","40"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1903","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1904","Directed","Arthur Schnitzler an Richard Beer-Hofmann","42"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1904","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","78"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1904","Directed","Hermann Bahr an Arthur Schnitzler","42"
